school,sex,age,address,famsize,Pstatus,Medu,Fedu,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,health,absences,G1,G2,G3,parent_is_teacher,alc_consumption
GP,F,18,U,GT3,A,4,4,mother,2,2,0,1,0,0,0,1,1,0,0,4,3,4,3,6,5,6,6,1,1.0
GP,F,17,U,GT3,T,1,1,father,1,2,0,0,1,0,0,0,1,1,0,5,3,3,3,4,5,5,6,0,1.0
GP,F,15,U,LE3,T,1,1,mother,1,2,3,1,0,1,0,1,1,1,0,4,3,2,3,10,7,8,10,0,2.2857142857142856
GP,F,15,U,GT3,T,4,2,mother,1,3,0,0,1,1,1,1,1,1,1,3,2,2,5,2,15,14,15,0,1.0
GP,F,16,U,GT3,T,3,3,father,1,2,0,0,1,1,0,1,1,0,0,4,3,2,5,4,6,10,10,0,1.2857142857142858
GP,M,16,U,LE3,T,4,3,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,2,5,10,15,15,15,0,1.2857142857142858
GP,M,16,U,LE3,T,2,2,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,4,3,0,12,12,11,0,1.0
GP,F,17,U,GT3,A,4,4,mother,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,6,6,5,6,1,1.0
GP,M,15,U,LE3,A,3,2,mother,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,0,16,18,19,0,1.0
GP,M,15,U,GT3,T,3,4,mother,1,2,0,0,1,1,1,1,1,1,0,5,5,1,5,0,14,15,15,0,1.0
GP,F,15,U,GT3,T,4,4,mother,1,2,0,0,1,1,0,1,1,1,0,3,3,3,2,0,10,8,9,1,1.2857142857142858
GP,F,15,U,GT3,T,2,1,father,3,3,0,0,1,0,1,1,1,1,0,5,2,2,4,4,10,12,12,0,1.0
GP,M,15,U,LE3,T,4,4,father,1,1,0,0,1,1,1,1,1,1,0,4,3,3,5,2,14,14,14,0,1.5714285714285714
GP,M,15,U,GT3,T,4,3,mother,2,2,0,0,1,1,0,1,1,1,0,5,4,3,3,2,10,10,11,1,1.2857142857142858
GP,M,15,U,GT3,A,2,2,other,1,3,0,0,1,0,0,1,1,1,1,4,5,2,3,0,14,16,16,0,1.0
GP,F,16,U,GT3,T,4,4,mother,1,1,0,0,1,0,0,1,1,1,0,4,4,4,2,4,14,14,14,0,1.2857142857142858
GP,F,16,U,GT3,T,4,4,mother,1,3,0,0,1,1,1,1,1,1,0,3,2,3,2,6,13,14,14,0,1.2857142857142858
GP,F,16,U,GT3,T,3,3,mother,3,2,0,1,1,0,1,1,1,0,0,5,3,2,4,4,8,10,10,0,1.0
GP,M,17,U,GT3,T,3,2,mother,1,1,3,0,1,0,1,1,1,1,0,5,5,5,5,16,6,5,5,0,2.5714285714285716
GP,M,16,U,LE3,T,4,3,father,1,1,0,0,0,1,1,1,1,1,0,3,1,3,5,4,8,10,10,0,1.5714285714285714
GP,M,15,U,GT3,T,4,3,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,0,13,14,15,1,1.0
GP,M,15,U,GT3,T,4,4,father,1,1,0,0,1,1,0,1,1,1,0,5,4,2,5,0,12,15,15,0,1.0
GP,M,16,U,LE3,T,4,2,mother,1,2,0,0,0,0,1,1,1,1,0,4,5,1,5,2,15,15,16,1,1.5714285714285714
GP,M,16,U,LE3,T,2,2,mother,2,2,0,0,1,0,1,1,1,1,0,5,4,4,5,0,13,13,12,0,2.5714285714285716
GP,F,15,R,GT3,T,2,4,mother,1,3,0,1,1,1,1,1,1,1,0,4,3,2,5,2,10,9,8,0,1.0
GP,F,16,U,GT3,T,2,2,mother,1,1,2,0,1,1,0,0,1,1,0,1,2,2,5,14,6,9,8,0,1.5714285714285714
GP,M,15,U,GT3,T,2,2,mother,1,1,0,0,1,1,0,1,1,1,0,4,2,2,5,2,12,12,11,0,1.2857142857142858
GP,M,15,U,GT3,T,4,2,mother,1,1,0,0,0,1,0,1,1,1,0,2,2,4,1,4,15,16,15,0,2.5714285714285716
GP,M,16,U,LE3,A,3,4,mother,1,2,0,1,1,0,1,1,1,1,0,5,3,3,5,4,11,11,11,0,1.0
GP,M,16,U,GT3,T,4,4,mother,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,16,10,12,11,1,5.0
GP,M,15,U,GT3,T,4,4,mother,1,2,0,0,1,1,0,0,1,1,0,5,4,2,5,0,9,11,12,0,3.2857142857142856
GP,M,15,U,GT3,T,4,4,mother,2,2,0,0,1,0,1,1,1,1,0,4,3,1,5,0,17,16,17,0,1.0
GP,M,15,R,GT3,T,4,3,mother,1,2,0,0,1,0,1,1,1,1,1,4,5,2,5,0,17,16,16,1,1.0
GP,M,15,U,LE3,T,3,3,mother,1,2,0,0,0,0,1,0,1,1,0,5,3,2,2,0,8,10,12,0,1.0
GP,M,16,U,GT3,T,3,2,mother,1,1,0,0,1,1,0,0,1,1,0,5,4,3,5,0,12,14,15,0,1.0
GP,F,15,U,GT3,T,2,3,father,2,1,0,0,1,0,1,1,1,0,0,3,5,1,5,0,8,7,6,0,1.0
GP,M,15,U,LE3,T,4,3,mother,1,3,0,0,1,0,1,1,1,1,0,5,4,3,4,2,15,16,18,1,1.0
GP,M,16,R,GT3,A,4,4,mother,2,3,0,0,1,0,1,1,1,1,1,2,4,3,5,7,15,16,15,1,1.0
GP,F,15,R,GT3,T,3,4,mother,1,3,0,1,1,1,1,1,1,1,0,4,3,2,5,2,12,12,11,0,1.0
GP,F,15,R,GT3,T,2,2,mother,1,1,0,1,1,1,1,1,1,0,0,4,3,1,2,8,14,13,13,0,1.0
GP,F,16,U,LE3,T,2,2,mother,2,2,1,0,1,0,1,0,1,1,1,3,3,3,3,25,7,10,11,0,1.2857142857142858
GP,M,15,U,LE3,T,4,4,other,1,1,0,0,1,0,0,0,1,1,1,5,4,3,5,8,12,12,12,1,2.5714285714285716
GP,M,15,U,GT3,T,4,4,father,1,2,0,0,1,0,1,1,1,1,0,4,3,3,5,2,19,18,18,1,1.0
GP,M,15,U,GT3,T,2,2,father,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,0,8,8,11,0,1.0
GP,F,16,U,LE3,T,2,2,father,2,2,1,1,0,0,1,1,1,1,0,4,3,3,5,14,10,10,9,0,2.0
GP,F,15,U,LE3,A,4,3,mother,1,2,0,1,1,1,1,1,1,1,1,5,2,2,5,8,8,8,6,0,1.0
GP,F,16,U,LE3,A,3,3,mother,1,2,0,0,1,0,0,1,1,1,0,2,3,5,3,12,11,12,11,0,1.8571428571428572
GP,M,16,U,GT3,T,4,3,mother,1,4,0,0,0,0,1,1,1,1,0,4,2,2,2,4,19,19,20,0,1.0
GP,M,15,U,GT3,T,4,2,mother,1,2,0,0,1,1,0,1,1,0,0,4,3,3,5,2,15,15,14,1,2.0
GP,F,15,U,GT3,T,4,4,father,1,2,1,1,1,0,1,0,1,1,0,4,4,4,3,2,7,7,7,1,1.0
GP,F,16,U,LE3,T,2,2,mother,3,2,0,0,1,1,0,1,1,1,0,4,3,3,4,2,12,13,13,0,2.2857142857142856
GP,F,15,U,LE3,T,4,2,mother,1,2,0,0,1,1,0,1,1,1,0,4,3,3,5,2,11,13,13,0,1.0
GP,M,15,U,LE3,A,4,2,father,2,1,1,0,0,0,0,1,1,0,0,5,5,5,5,6,11,11,10,0,3.2857142857142856
GP,F,15,U,GT3,T,4,4,mother,1,1,0,1,1,1,0,1,1,1,0,3,3,4,5,0,8,10,11,0,2.2857142857142856
GP,F,15,U,LE3,A,3,3,mother,1,1,0,0,0,1,0,1,1,1,0,5,3,4,1,6,10,13,13,0,4.0
GP,F,16,U,GT3,A,2,1,mother,1,2,0,0,0,1,1,1,1,1,1,5,3,4,2,8,8,9,10,0,1.0
GP,F,15,U,GT3,A,4,3,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,0,14,15,15,0,1.0
GP,M,15,U,GT3,T,4,4,mother,1,2,0,0,1,0,1,1,1,0,0,3,2,2,5,4,14,15,15,1,1.0
GP,M,15,U,LE3,T,1,2,father,1,2,0,1,1,0,1,1,1,1,0,4,3,2,5,2,9,10,9,0,1.0
GP,F,16,U,GT3,T,4,2,mother,1,2,0,0,1,0,0,1,1,1,0,4,2,3,5,2,15,16,16,0,1.0
GP,F,16,R,GT3,T,4,4,mother,1,2,0,0,1,0,1,1,1,0,0,2,4,4,4,6,10,11,11,1,2.2857142857142856
GP,F,16,U,GT3,T,1,1,father,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,6,10,8,11,0,5.0
GP,F,16,U,LE3,T,1,2,father,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,4,8,10,9,0,1.0
GP,F,16,U,GT3,T,4,3,mother,1,3,0,1,1,1,1,1,1,1,0,3,4,4,4,2,10,9,9,1,2.5714285714285716
GP,F,15,U,LE3,T,4,3,father,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,0,10,10,10,0,2.5714285714285716
GP,F,16,U,LE3,T,4,3,mother,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,16,15,15,1,1.2857142857142858
GP,M,15,U,GT3,A,4,4,mother,1,4,0,0,1,0,1,0,1,1,1,1,3,3,3,4,13,13,12,0,5.0
GP,F,16,U,GT3,T,3,1,mother,1,4,0,1,1,1,0,1,1,1,0,4,3,3,5,4,7,7,6,0,1.2857142857142858
GP,F,15,R,LE3,T,2,2,mother,2,2,0,1,1,1,0,1,1,1,0,4,1,3,4,2,8,9,8,0,1.5714285714285714
GP,F,15,R,LE3,T,3,1,father,2,4,0,0,1,0,0,0,1,1,0,4,4,2,3,12,16,16,16,0,2.2857142857142856
GP,M,16,U,GT3,T,3,1,father,2,4,0,0,1,1,0,1,1,1,0,4,3,2,5,0,13,15,15,0,1.0
GP,M,15,U,GT3,T,4,2,mother,1,4,0,0,0,0,0,1,1,1,0,3,3,3,3,0,10,10,10,0,1.0
GP,F,15,R,GT3,T,1,1,mother,1,2,2,1,1,0,0,0,1,1,1,3,3,4,5,2,8,6,5,0,2.5714285714285716
GP,M,16,U,GT3,T,3,1,mother,1,1,0,0,0,0,1,1,1,0,0,5,3,2,5,2,12,12,14,0,2.0
GP,M,15,U,GT3,T,4,3,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,3,5,6,9,9,10,1,2.2857142857142856
GP,M,15,U,GT3,T,4,0,mother,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,8,11,11,10,1,1.0
GP,F,16,U,GT3,T,2,2,mother,1,4,0,0,0,1,0,1,1,1,1,5,2,3,3,0,11,11,11,0,1.5714285714285714
GP,M,17,U,GT3,T,2,1,mother,2,1,3,1,1,0,1,1,0,1,0,4,5,1,3,2,8,8,10,0,1.0
GP,F,16,U,GT3,T,3,4,mother,1,2,0,0,1,0,0,1,1,1,0,2,4,3,3,12,5,5,5,0,1.2857142857142858
GP,M,15,U,GT3,T,2,3,father,1,1,0,1,1,1,1,0,1,1,1,3,2,2,3,2,10,12,12,0,1.5714285714285714
GP,M,15,U,GT3,T,2,3,mother,1,3,0,1,0,1,0,0,1,1,0,5,3,2,5,4,11,10,11,0,1.2857142857142858
GP,F,15,U,LE3,T,3,2,mother,1,2,0,0,1,1,0,1,1,1,0,4,4,4,5,10,7,6,6,0,1.0
GP,M,15,U,LE3,T,2,2,mother,2,2,0,0,0,1,1,1,1,1,0,5,3,3,4,4,15,15,15,0,1.5714285714285714
GP,F,15,U,GT3,T,1,1,father,1,2,0,0,1,0,1,0,1,1,0,4,3,2,4,2,9,10,10,0,2.2857142857142856
GP,F,15,U,GT3,T,4,4,father,2,2,2,0,0,1,0,1,1,1,1,4,4,4,5,6,7,9,8,0,2.2857142857142856
GP,F,16,U,LE3,T,2,2,mother,1,2,0,0,1,0,0,1,1,0,0,4,3,4,2,4,8,7,6,0,1.2857142857142858
GP,F,15,U,GT3,T,4,2,mother,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,4,13,14,14,0,1.5714285714285714
GP,M,16,U,GT3,T,2,2,father,2,2,1,0,0,1,1,0,1,1,0,4,4,2,3,12,11,10,10,0,1.0
GP,M,16,U,LE3,A,4,4,mother,1,2,0,0,1,0,0,1,1,0,0,4,1,3,5,18,8,6,7,1,3.5714285714285716
GP,F,16,U,GT3,T,3,3,mother,1,3,0,0,1,1,0,1,1,1,1,4,3,3,4,0,7,7,8,0,1.5714285714285714
GP,F,15,U,GT3,T,4,3,mother,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,4,16,17,18,0,1.5714285714285714
GP,F,16,U,LE3,T,3,1,father,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,4,7,6,6,0,2.2857142857142856
GP,F,16,U,GT3,T,4,2,mother,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,0,11,10,10,1,1.0
GP,M,15,U,LE3,T,2,2,mother,1,4,0,0,1,0,1,1,1,1,0,4,3,4,4,6,11,13,14,0,1.0
GP,F,15,R,GT3,T,1,1,mother,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,2,7,10,10,0,1.0
GP,M,16,R,GT3,T,4,3,mother,2,1,0,1,1,0,1,0,1,1,0,3,3,3,4,2,11,15,15,0,1.0
GP,F,16,U,GT3,T,2,1,mother,1,2,0,0,1,1,0,1,1,0,1,4,3,5,5,2,8,9,10,0,1.0
GP,F,16,U,GT3,T,4,4,mother,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,6,11,14,14,0,1.2857142857142858
GP,F,16,U,GT3,T,4,3,mother,1,3,0,1,1,1,0,1,1,1,0,5,3,5,3,0,7,9,8,0,1.0
GP,M,16,U,GT3,T,4,4,mother,1,1,0,1,1,1,1,1,1,1,0,4,5,5,4,14,7,7,5,0,5.0
GP,M,16,U,GT3,T,4,4,father,1,3,0,0,1,0,1,1,1,1,1,4,4,3,4,0,16,17,17,1,1.0
GP,M,15,U,GT3,T,4,4,mother,1,1,0,0,1,0,1,0,1,1,0,5,3,3,5,4,10,13,14,0,1.0
GP,F,15,U,GT3,T,3,2,mother,2,2,0,1,1,1,0,1,1,1,0,4,3,5,2,26,7,6,6,0,1.0
GP,M,15,U,GT3,A,3,4,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,0,16,18,18,0,1.0
GP,F,15,U,GT3,A,3,3,father,1,4,0,1,0,0,0,1,1,0,0,4,3,3,4,10,10,11,11,0,1.0
GP,F,15,U,GT3,T,2,2,mother,1,4,0,1,1,1,0,1,1,1,0,5,1,2,3,8,7,8,8,0,1.0
GP,M,16,U,GT3,T,3,3,father,1,3,0,0,1,0,1,1,1,1,0,5,3,3,5,2,16,18,18,0,1.0
GP,M,15,R,GT3,T,4,4,father,4,4,0,0,1,1,1,1,1,1,1,1,3,5,1,6,10,13,13,0,3.5714285714285716
GP,F,16,U,LE3,T,4,4,mother,1,3,0,0,1,1,1,1,1,1,1,5,4,5,4,4,14,15,16,0,1.0
GP,M,15,U,LE3,A,4,4,mother,1,1,0,0,0,0,1,1,1,1,0,5,5,3,4,6,18,19,19,1,1.0
GP,F,16,R,GT3,T,3,3,father,1,3,1,1,1,0,1,1,1,1,0,4,1,2,2,0,7,10,10,0,1.0
GP,F,16,U,GT3,T,2,2,mother,1,2,1,1,0,0,1,1,1,1,0,3,1,2,5,6,10,13,13,0,1.0
GP,M,15,U,LE3,T,4,2,mother,1,1,0,0,0,0,0,1,1,1,0,3,5,2,3,10,18,19,19,1,1.0
GP,M,15,R,GT3,T,2,1,mother,1,2,0,0,0,0,1,1,1,1,1,5,4,2,5,8,9,9,9,0,1.0
GP,M,16,U,GT3,T,4,4,father,1,2,0,0,1,0,1,1,1,1,0,5,4,4,5,2,15,15,16,1,1.2857142857142858
GP,M,15,U,GT3,T,4,4,father,2,2,0,0,1,0,1,1,1,0,0,4,4,3,2,2,11,13,14,1,1.0
GP,M,16,U,GT3,T,3,3,father,2,1,0,0,0,0,1,1,1,1,0,5,4,2,5,0,13,14,13,0,1.0
GP,M,17,R,GT3,T,1,3,father,3,2,1,0,1,0,1,1,1,1,0,5,2,4,5,20,9,7,8,0,1.8571428571428572
GP,M,15,U,GT3,T,3,4,father,1,1,0,0,0,0,0,1,1,1,0,3,4,3,4,6,14,13,13,0,1.2857142857142858
GP,F,15,U,GT3,T,1,2,mother,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,16,15,15,0,1.2857142857142858
GP,M,15,U,GT3,T,2,2,father,1,4,0,0,1,1,1,1,1,1,0,5,5,4,5,6,16,14,15,0,1.2857142857142858
GP,F,16,U,LE3,T,2,4,father,2,2,0,0,1,1,1,1,1,1,1,4,2,2,5,2,13,13,13,0,1.2857142857142858
GP,M,16,U,GT3,T,4,4,mother,1,1,0,0,1,0,1,1,1,1,0,3,4,4,5,18,14,11,13,0,1.8571428571428572
GP,F,16,U,GT3,T,2,2,mother,1,2,0,0,0,1,0,1,1,1,1,5,4,4,5,0,8,7,8,0,1.0
GP,M,15,U,GT3,T,3,4,father,1,1,0,1,0,0,0,1,1,1,0,5,5,5,5,0,13,13,12,0,2.7142857142857144
GP,F,15,U,LE3,A,3,4,mother,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,0,7,10,11,0,1.0
GP,F,19,U,GT3,T,0,1,other,1,2,3,0,1,0,0,0,0,0,0,3,4,2,5,2,7,8,9,0,1.0
GP,M,18,R,GT3,T,2,2,mother,1,1,2,0,1,0,1,1,1,1,0,3,3,3,4,0,7,4,0,0,1.2857142857142858
GP,M,16,R,GT3,T,4,4,mother,1,1,0,0,0,1,1,1,1,1,0,3,5,5,4,8,18,18,18,1,2.857142857142857
GP,F,15,R,GT3,T,3,4,father,2,3,2,0,1,0,0,1,1,1,1,4,2,2,5,0,12,0,0,1,2.0
